name,short,price,market_cap
Bitcoin,BTC,"$51,473.20",$972.54B
Ethereum,ETH,"$4,395.16",$521.45B
Binance Coin,BNB,$587.77,$98.04B
Tether,USDT,$1.00,$76.09B
Solana,SOL,$200.07,$61.20B
Cardano,ADA,$1.45,$48.38B
USD Coin,USDC,$0.9998,$40.86B
XRP,XRP,$0.8335,$39.38B
Polkadot,DOT,$29.68,$29.31B
Terra,LUNA,$72.99,$27.99B
Dogecoin,DOGE,$0.1812,$24.00B
Avalanche,AVAX,$94.29,$22.89B
SHIBA INU,SHIB,$0.00003771,$20.70B
Polygon,MATIC,$2.50,$17.58B
Crypto.com Coin,CRO,$0.6457,$16.31B
Binance USD,BUSD,$0.9999,$13.35B
Wrapped Bitcoin,WBTC,"$51,030.80",$13.10B
Litecoin,LTC,$162.67,$11.25B
Algorand,ALGO,$1.74,$11.00B
Uniswap,UNI,$17.43,$10.95B
